Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
I,0.507,0.389,0.157,0.6383,0.2626,0.1343,0.1962,7
M,0.539,0.398,0.109,0.6329,0.2616,0.1472,0.1375,7
M,0.607,0.472,0.152,0.9346,0.435,0.1959,0.2331,11
M,0.506,0.395,0.117,0.5244,0.1872,0.1402,0.2186,10
M,0.62,0.49,0.157,1.1425,0.5472,0.2864,0.3414,8
F,0.654,0.504,0.19,1.349,0.4808,0.2521,0.3945,18
I,0.438,0.335,0.1,0.5273,0.2402,0.0837,0.1314,11
I,0.425,0.312,0.096,0.3546,0.1349,0.0699,0.0916,8
I,0.526,0.396,0.137,0.6092,0.3135,0.1025,0.1735,8
M,0.574,0.478,0.151,1.1144,0.4803,0.2437,0.2451,11
M,0.566,0.465,0.138,1.0288,0.4423,0.2458,0.2432,9
I,0.5,0.369,0.106,0.5027,0.1974,0.1257,0.1422,10
F,0.676,0.529,0.166,1.4119,0.5808,0.2609,0.4582,10
I,0.721,0.574,0.216,1.9768,0.9528,0.4374,0.5472,11
M,0.618,0.505,0.188,1.1484,0.5078,0.2344,0.3339,11
I,0.465,0.341,0.115,0.4541,0.1588,0.1018,0.1567,16
I,0.567,0.455,0.117,0.823,0.3749,0.1788,0.1821,10
I,0.368,0.284,0.113,0.4812,0.2053,0.0939,0.1305,10
M,0.533,0.39,0.118,0.769,0.3938,0.1392,0.1675,5
I,0.462,0.32,0.109,0.4521,0.1803,0.0732,0.1176,8
I,0.591,0.486,0.174,0.9684,0.4085,0.1512,0.282,12
I,0.248,0.222,0.082,0.0988,0.0287,0.022,0.0444,10
I,0.517,0.397,0.112,0.5524,0.2813,0.0827,0.1572,10
M,0.673,0.548,0.227,1.6236,0.6547,0.3244,0.5266,11
M,0.649,0.503,0.23,1.5648,0.6171,0.3206,0.4913,21
F,0.447,0.358,0.116,0.7016,0.2821,0.1415,0.1518,11
F,0.457,0.335,0.093,0.4381,0.1624,0.1044,0.1241,6
F,0.452,0.312,0.09,0.393,0.2276,0.0556,0.0641,6
M,0.512,0.374,0.143,0.6364,0.3023,0.1357,0.1588,8
M,0.49,0.366,0.126,0.6615,0.3498,0.1455,0.1421,7
M,0.519,0.401,0.116,0.5781,0.2368,0.1342,0.1413,8
M,0.577,0.468,0.161,1.084,0.3552,0.2165,0.3556,12
F,0.581,0.462,0.164,0.9272,0.3388,0.1627,0.2463,18
I,0.519,0.392,0.116,0.5928,0.2727,0.1195,0.1201,8
F,0.664,0.545,0.222,1.5879,0.714,0.2765,0.4445,8
I,0.42,0.287,0.118,0.3461,0.134,0.1049,0.0798,7
M,0.342,0.304,0.07,0.2308,0.1143,0.0394,0.084,7
I,0.315,0.243,0.095,0.1122,0.0986,0.021,0.0199,4
F,0.579,0.446,0.161,0.7685,0.3381,0.1701,0.2506,16
M,0.529,0.414,0.133,0.5836,0.1959,0.1483,0.2368,11
M,0.555,0.417,0.158,0.6172,0.2577,0.1267,0.2052,8
M,0.692,0.556,0.24,1.8894,0.7815,0.4394,0.5686,14
F,0.588,0.442,0.165,0.9606,0.4223,0.217,0.2956,10
M,0.701,0.566,0.217,1.8827,0.8729,0.4332,0.4957,14
I,0.709,0.553,0.222,1.8681,0.811,0.4165,0.5403,10
M,0.5,0.372,0.144,0.7059,0.3145,0.1726,0.1662,7
M,0.582,0.455,0.145,0.7001,0.3041,0.1784,0.2011,7
M,0.674,0.538,0.165,1.5987,0.6718,0.3199,0.4393,13
F,0.535,0.443,0.151,0.8468,0.3327,0.1743,0.227,14
M,0.613,0.471,0.137,1.0324,0.5711,0.2228,0.2554,7
M,0.469,0.365,0.072,0.3864,0.1773,0.0691,0.1235,10
M,0.641,0.517,0.186,1.3044,0.5489,0.366,0.3996,15
M,0.612,0.492,0.182,1.0687,0.5178,0.2469,0.3056,10
F,0.711,0.569,0.209,1.9477,0.9185,0.3879,0.5876,21
F,0.392,0.248,0.12,0.3046,0.1765,0.088,0.0857,6
M,0.589,0.454,0.122,0.9954,0.4526,0.2508,0.277,11
M,0.539,0.454,0.158,0.8502,0.3992,0.2054,0.2273,13
M,0.574,0.46,0.159,1.1445,0.4447,0.2402,0.3237,14
I,0.597,0.478,0.146,1.1319,0.489,0.2047,0.3356,11
F,0.68,0.512,0.14,1.4326,0.5576,0.3228,0.4029,9
I,0.419,0.283,0.087,0.1764,0.1052,0.0518,0.061,6
M,0.494,0.388,0.13,0.3637,0.1107,0.1158,0.1296,6
I,0.608,0.472,0.189,1.0543,0.3715,0.2231,0.3152,12
M,0.628,0.493,0.185,1.2057,0.5422,0.246,0.3363,13
F,0.446,0.351,0.12,0.4516,0.2118,0.0751,0.1849,8
F,0.529,0.422,0.129,0.7223,0.2424,0.1488,0.2394,8
M,0.557,0.433,0.153,0.8436,0.401,0.1898,0.2065,9
F,0.489,0.377,0.135,0.5972,0.2105,0.0629,0.2008,12
I,0.286,0.178,0.053,0.1008,0.0577,0.0188,0.0251,4
F,0.513,0.442,0.143,0.6677,0.2238,0.158,0.241,10
I,0.65,0.531,0.189,1.5233,0.762,0.2818,0.4263,9
F,0.671,0.532,0.161,1.5411,0.6827,0.3441,0.3469,13
F,0.715,0.558,0.183,1.9304,0.8911,0.431,0.546,11
F,0.349,0.236,0.098,0.229,0.0742,0.0362,0.0811,9
I,0.474,0.357,0.124,0.39,0.1211,0.0834,0.1244,10
M,0.549,0.404,0.117,0.8173,0.3992,0.1796,0.2131,9
M,0.67,0.531,0.175,1.6388,0.8399,0.3379,0.3674,12
F,0.601,0.459,0.191,1.2379,0.394,0.2206,0.4098,17
I,0.336,0.275,0.099,0.1867,0.1106,0.0577,0.0418,6
M,0.659,0.532,0.188,1.6349,0.6381,0.345,0.4419,10
M,0.466,0.299,0.104,0.4496,0.2288,0.1208,0.0837,7
I,0.473,0.359,0.103,0.34,0.1144,0.0697,0.1188,7
F,0.379,0.315,0.123,0.4408,0.1465,0.1185,0.139,9
F,0.646,0.475,0.144,1.3445,0.6328,0.2764,0.2874,9
M,0.519,0.399,0.131,0.5951,0.2959,0.1352,0.1564,8
M,0.596,0.463,0.167,0.9971,0.3363,0.2191,0.3281,15
I,0.26,0.196,0.069,0.0955,0.0499,0.0215,0.0171,5
F,0.599,0.46,0.17,1.222,0.5037,0.2403,0.3213,14
I,0.365,0.287,0.086,0.2828,0.114,0.0596,0.0891,6
F,0.576,0.448,0.149,0.9428,0.3597,0.2034,0.2521,11
M,0.559,0.434,0.15,0.7781,0.3226,0.2308,0.2729,11
M,0.253,0.15,0.077,0.1113,0.0644,0.0233,0.0247,8
F,0.516,0.386,0.129,0.56,0.2282,0.0765,0.1591,9
M,0.522,0.421,0.141,0.7319,0.323,0.1941,0.2072,11
F,0.607,0.49,0.175,1.0917,0.5262,0.1873,0.3593,10
F,0.44,0.362,0.126,0.5025,0.2023,0.1068,0.1434,8
I,0.075,0.061,0.032,0.0089,0.0026,0.0045,0.0015,3
F,0.667,0.536,0.172,1.4521,0.5576,0.291,0.4675,12
M,0.432,0.288,0.102,0.3508,0.1636,0.0844,0.1645,9
M,0.344,0.274,0.096,0.2062,0.0774,0.0478,0.0745,9
I,0.48,0.376,0.104,0.3342,0.1419,0.0866,0.0987,7
F,0.601,0.477,0.137,0.895,0.3565,0.2039,0.2003,8
M,0.711,0.55,0.206,2.0489,0.9282,0.4312,0.5723,13
I,0.34,0.263,0.07,0.1618,0.0815,0.0287,0.0518,5
F,0.541,0.389,0.137,0.6031,0.2589,0.1593,0.2049,8
I,0.594,0.48,0.148,1.0831,0.5507,0.2318,0.3022,9
I,0.483,0.347,0.1,0.4787,0.2763,0.0874,0.1092,8
I,0.652,0.538,0.214,1.3661,0.5558,0.2978,0.4315,9
M,0.305,0.254,0.086,0.2206,0.0683,0.0562,0.0964,8
I,0.482,0.36,0.106,0.4583,0.2034,0.1187,0.1154,8
M,0.522,0.455,0.12,0.7064,0.3033,0.1469,0.2036,7
M,0.405,0.307,0.112,0.2949,0.0895,0.0883,0.1009,8
M,0.703,0.545,0.192,1.7025,0.7372,0.3856,0.4565,15
I,0.449,0.321,0.122,0.6286,0.211,0.1322,0.1627,10
I,0.458,0.353,0.132,0.5187,0.1868,0.1103,0.1474,7
I,0.444,0.358,0.118,0.5167,0.1896,0.1243,0.1462,12
M,0.687,0.563,0.21,1.9787,0.9439,0.3898,0.5285,16
M,0.652,0.536,0.157,1.373,0.5316,0.3523,0.4117,8
I,0.585,0.464,0.143,0.8868,0.3933,0.165,0.2619,8
I,0.39,0.336,0.124,0.4141,0.114,0.0766,0.1986,17
F,0.572,0.447,0.167,0.9722,0.3468,0.1849,0.334,11
I,0.534,0.42,0.141,0.7198,0.3522,0.1204,0.2646,14
M,0.693,0.546,0.188,1.7417,0.7679,0.3591,0.4983,13
I,0.463,0.39,0.12,0.5323,0.161,0.1534,0.1673,14
M,0.72,0.553,0.245,2.0896,0.929,0.5026,0.6071,15
M,0.638,0.47,0.158,0.9975,0.36,0.2589,0.3269,14
I,0.487,0.362,0.122,0.511,0.2082,0.1364,0.1778,11
F,0.622,0.48,0.177,1.3512,0.538,0.3037,0.3699,13
M,0.495,0.376,0.114,0.5164,0.2653,0.1281,0.1162,9
I,0.235,0.184,0.056,0.0369,0.0191,0.0074,0.017,3
M,0.649,0.528,0.212,1.5713,0.57,0.2802,0.5009,20
F,0.496,0.354,0.11,0.554,0.1959,0.1042,0.1891,12
M,0.607,0.451,0.17,0.9752,0.3992,0.2309,0.33,11
M,0.669,0.51,0.194,1.5678,0.7907,0.3137,0.4507,13
M,0.473,0.402,0.123,0.5341,0.263,0.0788,0.1655,7
I,0.356,0.22,0.11,0.1637,0.0546,0.0428,0.0651,10
I,0.446,0.328,0.098,0.3561,0.2111,0.0584,0.0801,6
M,0.631,0.495,0.171,1.2443,0.5566,0.2581,0.3318,13
F,0.689,0.552,0.204,1.8269,0.7997,0.3944,0.5222,15
M,0.63,0.502,0.196,1.2515,0.5407,0.2562,0.4189,12
M,0.48,0.352,0.118,0.872,0.2868,0.1582,0.2284,11
F,0.423,0.361,0.138,0.4483,0.189,0.0605,0.1834,12
I,0.607,0.459,0.186,1.172,0.5695,0.2868,0.3319,12
M,0.642,0.492,0.178,1.3009,0.5905,0.2639,0.4084,15
M,0.74,0.583,0.216,2.2471,1.1159,0.5046,0.611,18
F,0.51,0.409,0.127,0.6028,0.2294,0.1343,0.1748,8
F,0.476,0.404,0.147,0.6397,0.2064,0.1088,0.2225,8
F,0.595,0.47,0.144,1.0835,0.4408,0.2051,0.2923,7
F,0.405,0.318,0.113,0.3501,0.1289,0.0875,0.0726,8
I,0.69,0.539,0.193,1.6119,0.7676,0.3067,0.4289,11
F,0.537,0.393,0.149,0.8429,0.3713,0.171,0.2813,14
I,0.436,0.338,0.131,0.3836,0.1171,0.0769,0.1184,8
I,0.472,0.37,0.129,0.6301,0.2495,0.1248,0.2219,10
I,0.662,0.527,0.202,1.5143,0.6479,0.2947,0.4697,11
I,0.595,0.44,0.139,0.8911,0.389,0.1767,0.2661,7
F,0.395,0.301,0.076,0.2008,0.0647,0.044,0.0522,10
M,0.515,0.417,0.136,0.7715,0.3689,0.1137,0.2222,11
I,0.482,0.388,0.099,0.5961,0.2905,0.1112,0.1595,5
F,0.641,0.51,0.142,1.277,0.5648,0.2929,0.3303,10
F,0.635,0.481,0.139,1.1178,0.4644,0.2798,0.3614,14
F,0.565,0.459,0.129,0.9551,0.4374,0.1945,0.2276,8
F,0.512,0.388,0.143,0.5748,0.2569,0.141,0.2015,14
M,0.756,0.609,0.224,2.3211,1.0266,0.463,0.7511,14
M,0.75,0.593,0.234,2.2566,0.9906,0.5205,0.7019,14
M,0.605,0.461,0.141,1.0494,0.587,0.1908,0.2234,11
M,0.355,0.289,0.092,0.1811,0.0895,0.0448,0.0488,8
I,0.344,0.266,0.085,0.1518,0.0606,0.0275,0.0673,7
M,0.567,0.445,0.143,0.7306,0.3288,0.149,0.1882,9
I,0.202,0.147,0.047,0.0471,0.0276,0.0168,0.006,5
M,0.683,0.555,0.182,1.6287,0.637,0.3323,0.4888,14
F,0.41,0.304,0.094,0.3363,0.1548,0.0714,0.126,9
I,0.489,0.387,0.149,0.5905,0.2042,0.1472,0.1679,9
F,0.479,0.374,0.119,0.4155,0.167,0.0744,0.1922,8
I,0.248,0.148,0.067,0.0955,0.0347,0.0176,0.0405,9
I,0.498,0.383,0.11,0.7033,0.2637,0.1206,0.2042,11
M,0.475,0.375,0.111,0.5953,0.2511,0.123,0.1432,9
F,0.548,0.444,0.15,0.9212,0.3689,0.2285,0.2882,8
M,0.589,0.475,0.17,1.1796,0.4467,0.209,0.3537,13
M,0.661,0.525,0.209,1.6055,0.7569,0.3614,0.4428,13
F,0.53,0.409,0.17,0.793,0.3068,0.1656,0.2035,9
M,0.596,0.445,0.135,1.0112,0.4393,0.2306,0.253,8
I,0.31,0.258,0.06,0.2344,0.1665,0.0451,0.068,6
F,0.472,0.319,0.096,0.6883,0.3652,0.1163,0.1621,7
F,0.639,0.531,0.17,1.3824,0.419,0.3065,0.4955,16
F,0.337,0.244,0.071,0.2123,0.1055,0.0809,0.0559,5
M,0.686,0.559,0.218,1.8865,0.831,0.3882,0.5829,18
F,0.705,0.569,0.185,1.5989,0.6571,0.3708,0.4459,14
I,0.512,0.402,0.142,0.7743,0.4079,0.1226,0.1892,9
I,0.507,0.398,0.123,0.5959,0.2625,0.1223,0.1462,7
M,0.65,0.526,0.199,1.4325,0.5981,0.3349,0.4066,16
M,0.56,0.427,0.164,0.9214,0.4201,0.1734,0.268,9
F,0.485,0.388,0.105,0.6565,0.3145,0.137,0.2202,8
F,0.551,0.419,0.167,1.0441,0.4713,0.2483,0.2051,8
I,0.522,0.4,0.161,0.7585,0.3603,0.1772,0.2111,7
F,0.561,0.441,0.171,0.8675,0.3058,0.2189,0.239,8
F,0.572,0.436,0.15,1.0317,0.4435,0.1871,0.2645,11
M,0.688,0.512,0.192,1.5286,0.7171,0.4155,0.3649,12
F,0.339,0.227,0.07,0.1896,0.0659,0.0444,0.0524,8
F,0.399,0.305,0.118,0.4474,0.2678,0.116,0.085,7
M,0.579,0.429,0.155,1.0899,0.455,0.2437,0.3414,9
I,0.525,0.389,0.143,0.7447,0.3611,0.1556,0.1823,9
F,0.501,0.393,0.138,0.5952,0.2614,0.1201,0.2317,8
F,0.694,0.529,0.186,1.4486,0.5886,0.2809,0.4052,15
M,0.534,0.415,0.115,0.5742,0.2439,0.1505,0.1574,9
I,0.501,0.387,0.14,0.5352,0.2174,0.0999,0.1977,10
F,0.584,0.457,0.141,1.1107,0.3961,0.2233,0.3108,12
I,0.598,0.441,0.153,0.8846,0.3533,0.2088,0.2228,12
M,0.591,0.474,0.147,0.9,0.2983,0.2012,0.3318,15
F,0.683,0.54,0.182,1.5564,0.7144,0.3549,0.4688,16
I,0.352,0.228,0.086,0.1948,0.113,0.04,0.0327,6
I,0.593,0.44,0.199,1.0203,0.4482,0.2057,0.3293,7
I,0.409,0.31,0.106,0.33,0.1909,0.0585,0.0786,9
M,0.578,0.465,0.158,0.8986,0.3332,0.2481,0.3364,11
I,0.274,0.222,0.082,0.1291,0.0596,0.0384,0.0285,6
I,0.547,0.426,0.122,0.6964,0.2863,0.2211,0.2349,12
F,0.624,0.525,0.155,1.1173,0.4773,0.1961,0.3522,12
M,0.53,0.412,0.154,0.6585,0.244,0.1315,0.21,8
M,0.483,0.358,0.095,0.448,0.2536,0.112,0.093,6
F,0.154,0.12,0.04,0.0293,0.0217,0.008,0.0042,6
M,0.577,0.43,0.127,0.7553,0.3502,0.1268,0.2358,10
M,0.532,0.377,0.135,0.8657,0.3771,0.1515,0.227,9
F,0.671,0.544,0.203,1.7951,0.7231,0.3673,0.4614,12
M,0.582,0.445,0.129,0.8437,0.3631,0.1556,0.2737,9
I,0.518,0.402,0.103,0.476,0.1814,0.1131,0.188,8
M,0.511,0.401,0.178,0.742,0.233,0.1807,0.2805,20
M,0.675,0.561,0.199,1.8015,0.794,0.4243,0.4576,13
I,0.528,0.416,0.108,0.6957,0.3879,0.1509,0.1562,6
M,0.606,0.467,0.16,1.0413,0.4242,0.2185,0.3323,8
I,0.364,0.259,0.111,0.2202,0.0987,0.0289,0.065,7
M,0.534,0.368,0.146,0.6373,0.1847,0.1483,0.2363,15
F,0.587,0.459,0.147,0.9754,0.4652,0.1642,0.2908,12
F,0.317,0.218,0.087,0.18,0.0986,0.0577,0.0478,7
I,0.59,0.487,0.15,1.0261,0.4377,0.1813,0.3401,11
F,0.446,0.317,0.119,0.2047,0.0929,0.0474,0.0665,5
I,0.422,0.323,0.097,0.3891,0.1738,0.0549,0.0838,6
F,0.6,0.485,0.172,1.2032,0.4929,0.2516,0.3466,14
I,0.419,0.339,0.107,0.3741,0.166,0.0864,0.0949,9
M,0.669,0.509,0.185,1.5942,0.7577,0.3334,0.4527,17
M,0.491,0.387,0.157,0.6491,0.3021,0.1262,0.2333,10
F,0.572,0.453,0.145,0.8213,0.4393,0.218,0.1739,9
M,0.702,0.55,0.213,1.7928,0.7397,0.2701,0.5742,20
F,0.53,0.429,0.142,0.8385,0.432,0.1277,0.2035,10
F,0.568,0.452,0.14,0.9047,0.5004,0.149,0.2268,9
M,0.494,0.37,0.124,0.6077,0.2346,0.098,0.2293,11
M,0.564,0.427,0.161,0.8297,0.4152,0.148,0.2598,10
I,0.394,0.308,0.099,0.2841,0.1265,0.0517,0.0946,10
M,0.473,0.357,0.119,0.4447,0.1698,0.1027,0.1653,9
I,0.622,0.469,0.167,1.0503,0.5002,0.2025,0.3109,11
I,0.528,0.379,0.144,0.6832,0.3339,0.1375,0.1358,7
I,0.513,0.402,0.159,0.8332,0.2852,0.1487,0.2617,15
I,0.565,0.417,0.155,0.69,0.3577,0.1338,0.2017,10
F,0.465,0.361,0.124,0.5155,0.2062,0.1055,0.1516,7
F,0.383,0.326,0.116,0.2946,0.1597,0.0514,0.1104,9
F,0.517,0.397,0.127,0.603,0.3038,0.1441,0.1602,6
M,0.526,0.405,0.135,0.77,0.2752,0.2124,0.2284,13
I,0.516,0.375,0.123,0.562,0.1774,0.0922,0.2192,11
F,0.596,0.453,0.131,0.7329,0.3421,0.1489,0.1916,7
M,0.417,0.309,0.107,0.3047,0.1394,0.0687,0.096,7
I,0.442,0.299,0.09,0.357,0.1954,0.1088,0.0848,5
I,0.366,0.266,0.092,0.2203,0.0962,0.0508,0.0505,5
F,0.331,0.275,0.082,0.2873,0.1301,0.0332,0.0918,8
F,0.664,0.522,0.209,1.4737,0.6362,0.3417,0.424,16
M,0.646,0.511,0.179,1.5687,0.5636,0.3292,0.4874,12
F,0.7,0.549,0.132,1.4616,0.6002,0.3109,0.4087,12
F,0.403,0.279,0.118,0.3092,0.1214,0.0621,0.1324,9
I,0.633,0.476,0.164,0.9914,0.3928,0.2343,0.3158,15
I,0.384,0.28,0.077,0.2342,0.124,0.0531,0.0597,5
I,0.471,0.372,0.152,0.6235,0.2251,0.1224,0.1959,9
F,0.453,0.38,0.141,0.5225,0.1705,0.1071,0.2376,12
I,0.244,0.187,0.076,0.0544,0.0274,0.0171,0.0118,4
F,0.582,0.437,0.133,0.9487,0.4048,0.1856,0.2447,9
I,0.537,0.438,0.166,0.809,0.3047,0.1881,0.2175,12
M,0.318,0.252,0.078,0.233,0.0602,0.0495,0.0935,7
F,0.561,0.419,0.163,1.0526,0.409,0.2523,0.2919,12
I,0.549,0.424,0.11,0.6416,0.2288,0.1195,0.1924,7
I,0.604,0.454,0.148,0.893,0.3392,0.2192,0.2759,9
F,0.41,0.28,0.098,0.1482,0.0755,0.0548,0.0503,8
I,0.235,0.127,0.055,0.0454,0.0186,0.0085,0.0203,3
M,0.386,0.316,0.125,0.2314,0.0493,0.0425,0.1173,11
F,0.554,0.437,0.141,0.7495,0.4076,0.1737,0.2027,5
I,0.337,0.286,0.078,0.1707,0.0727,0.045,0.0853,7
I,0.603,0.434,0.138,0.8681,0.442,0.1908,0.2089,8
M,0.546,0.451,0.151,1.0507,0.4619,0.2223,0.3439,11
M,0.709,0.569,0.253,2.0116,0.9083,0.4647,0.5332,15
F,0.609,0.472,0.135,0.8787,0.4097,0.1783,0.2784,14
I,0.568,0.441,0.179,0.9282,0.3831,0.1821,0.2439,8
F,0.664,0.488,0.171,1.4809,0.6681,0.3061,0.3725,14
M,0.518,0.403,0.132,0.7164,0.3681,0.1724,0.1161,8
F,0.623,0.482,0.159,0.9881,0.4607,0.2334,0.3261,10
M,0.402,0.293,0.082,0.2841,0.1718,0.0659,0.057,6
F,0.501,0.379,0.117,0.5964,0.2649,0.1113,0.1189,9
I,0.532,0.398,0.107,0.5284,0.2155,0.1064,0.1466,7
F,0.493,0.388,0.129,0.693,0.4178,0.1307,0.1783,10
F,0.382,0.282,0.1,0.3267,0.2109,0.0485,0.0569,4
I,0.615,0.461,0.172,0.977,0.5024,0.2082,0.2056,7
I,0.492,0.392,0.123,0.5982,0.2278,0.1286,0.1813,9
M,0.39,0.312,0.097,0.2404,0.0814,0.0638,0.1514,11
I,0.534,0.429,0.12,0.6585,0.2464,0.1398,0.1655,13
F,0.568,0.414,0.139,0.8353,0.3751,0.2071,0.1599,7
F,0.542,0.401,0.121,0.7499,0.3258,0.1355,0.2083,8
F,0.656,0.506,0.181,1.4446,0.652,0.3138,0.3447,9
M,0.5,0.425,0.133,0.7439,0.3652,0.1113,0.2716,11
M,0.449,0.371,0.152,0.6451,0.2542,0.1405,0.2115,12
F,0.528,0.425,0.132,0.7181,0.2508,0.1237,0.2764,18
M,0.693,0.553,0.205,1.8625,0.8696,0.3906,0.4658,11
F,0.501,0.392,0.131,0.4864,0.1564,0.1282,0.1886,6
F,0.523,0.419,0.123,0.5217,0.2847,0.1388,0.1399,7
F,0.394,0.272,0.114,0.2995,0.1077,0.0467,0.1264,9
M,0.617,0.473,0.16,1.2176,0.5016,0.264,0.3416,12
F,0.694,0.54,0.187,1.5594,0.6877,0.3296,0.4431,11
F,0.617,0.473,0.155,1.1103,0.4564,0.2752,0.3445,12
M,0.559,0.436,0.16,0.8425,0.4681,0.2061,0.1971,11
I,0.585,0.433,0.134,0.853,0.4313,0.1426,0.1676,6
I,0.39,0.301,0.079,0.3424,0.1388,0.073,0.1033,8
I,0.455,0.333,0.083,0.2814,0.1218,0.0523,0.0873,6
I,0.749,0.599,0.237,2.2428,0.9629,0.5021,0.7441,19
I,0.534,0.372,0.154,0.6665,0.2574,0.1565,0.2055,8
I,0.075,0.055,0.029,0.002,0.001,0.0005,0.0015,3
M,0.667,0.53,0.195,1.5055,0.6451,0.3214,0.4249,16
F,0.292,0.216,0.064,0.1126,0.0534,0.0346,0.037,4
M,0.274,0.156,0.072,0.0666,0.0566,0.0151,0.015,3
I,0.635,0.519,0.186,1.1721,0.5161,0.2881,0.3568,11
M,0.584,0.431,0.172,0.9319,0.3931,0.2385,0.2491,8
F,0.436,0.323,0.147,0.4525,0.2198,0.0997,0.1267,6
F,0.467,0.366,0.141,0.5834,0.2894,0.1838,0.1851,8
F,0.521,0.437,0.125,0.7349,0.2529,0.1558,0.247,12
M,0.508,0.429,0.162,0.744,0.2605,0.1338,0.257,13
I,0.193,0.153,0.042,0.0464,0.0237,0.0062,0.0174,5
F,0.432,0.325,0.116,0.3247,0.1596,0.1227,0.1093,9
M,0.275,0.239,0.105,0.2062,0.1195,0.045,0.0842,7
I,0.545,0.388,0.107,0.7117,0.3499,0.1732,0.1288,9
M,0.694,0.568,0.218,1.9266,0.8871,0.4492,0.5217,16
F,0.484,0.372,0.128,0.5877,0.4084,0.127,0.0953,5
F,0.655,0.507,0.192,1.2435,0.5786,0.3256,0.3588,12
M,0.586,0.459,0.148,1.048,0.3799,0.2776,0.3209,12
F,0.609,0.473,0.157,0.8571,0.3499,0.1837,0.3119,12
M,0.684,0.541,0.226,1.5884,0.6943,0.3004,0.4682,13
F,0.544,0.442,0.171,1.0387,0.3537,0.1758,0.3993,10
M,0.598,0.458,0.141,1.0242,0.3495,0.2243,0.3955,13
M,0.564,0.45,0.189,0.9827,0.4465,0.2099,0.2918,8
F,0.29,0.238,0.093,0.1507,0.0384,0.0317,0.0719,12
F,0.569,0.44,0.136,1.0541,0.521,0.2167,0.237,9
I,0.563,0.435,0.148,0.8898,0.4605,0.2075,0.1978,5
F,0.564,0.43,0.168,0.8101,0.2636,0.1729,0.3083,8
F,0.531,0.432,0.158,0.5855,0.2938,0.1742,0.1192,10
F,0.6,0.458,0.175,1.148,0.4412,0.1611,0.2608,12
F,0.584,0.441,0.135,1.0157,0.418,0.1777,0.3119,11
M,0.398,0.313,0.104,0.3147,0.1198,0.0728,0.099,9
I,0.491,0.397,0.082,0.5112,0.2055,0.1029,0.1294,5
F,0.57,0.44,0.15,0.8397,0.2677,0.1853,0.2728,9
I,0.191,0.079,0.047,0.0378,0.0218,0.0126,0.0147,5
F,0.609,0.48,0.194,1.2526,0.5032,0.2684,0.3329,12
F,0.498,0.408,0.139,0.5883,0.3367,0.1256,0.1561,12
F,0.571,0.466,0.158,0.8723,0.3809,0.166,0.2299,11
M,0.672,0.548,0.186,1.6419,0.7175,0.3653,0.4527,16
F,0.553,0.458,0.156,0.9626,0.3701,0.2019,0.2432,9
F,0.648,0.508,0.188,1.3202,0.4637,0.3297,0.394,14
F,0.638,0.505,0.155,1.2624,0.6668,0.22,0.3898,9
I,0.384,0.323,0.096,0.2872,0.1078,0.053,0.1128,8
I,0.451,0.331,0.095,0.3922,0.1901,0.0868,0.1474,13
I,0.394,0.258,0.082,0.3595,0.1474,0.0946,0.059,6
I,0.275,0.246,0.095,0.0866,0.0135,0.024,0.0505,8
M,0.624,0.497,0.174,1.233,0.5145,0.2912,0.3974,11
F,0.433,0.343,0.114,0.3364,0.1215,0.082,0.1109,8
F,0.507,0.353,0.142,0.5721,0.2112,0.117,0.1408,8
F,0.419,0.338,0.109,0.3789,0.2294,0.077,0.0886,5
I,0.671,0.501,0.21,1.4791,0.6167,0.3051,0.3964,12
I,0.523,0.439,0.156,0.9555,0.3711,0.169,0.2854,11
M,0.681,0.55,0.213,1.8539,0.8022,0.4171,0.4893,15
F,0.709,0.564,0.193,1.9858,0.843,0.4441,0.5453,15
I,0.621,0.481,0.118,1.1479,0.3916,0.2118,0.3147,13
F,0.362,0.321,0.097,0.2119,0.0785,0.0604,0.0608,10
F,0.402,0.31,0.064,0.3215,0.1864,0.0563,0.0534,5
M,0.688,0.551,0.2,1.7267,0.6749,0.4177,0.4775,11
I,0.426,0.35,0.122,0.3701,0.1834,0.0733,0.1166,9
M,0.689,0.531,0.187,1.4967,0.5688,0.3731,0.4139,12
F,0.277,0.222,0.09,0.106,0.0547,0.0225,0.0446,8
I,0.43,0.323,0.112,0.4166,0.1436,0.099,0.1453,8
I,0.454,0.363,0.13,0.5204,0.2967,0.1125,0.1508,11
I,0.358,0.274,0.078,0.1422,0.0815,0.0298,0.042,5
I,0.432,0.36,0.104,0.3744,0.177,0.0722,0.1372,5
I,0.567,0.448,0.154,0.8637,0.4241,0.1541,0.2255,11
I,0.626,0.45,0.135,1.0636,0.4567,0.2096,0.2629,11
M,0.587,0.499,0.174,1.0647,0.4716,0.2609,0.2977,11
F,0.43,0.295,0.091,0.2625,0.1125,0.0676,0.0759,9
M,0.607,0.465,0.168,1.2471,0.4296,0.2538,0.3784,14
F,0.435,0.367,0.112,0.2874,0.1146,0.0544,0.1075,7
I,0.301,0.236,0.097,0.1597,0.0552,0.0294,0.0692,8
F,0.713,0.56,0.241,1.8997,0.8225,0.4411,0.5419,14
F,0.503,0.385,0.101,0.6186,0.2495,0.1483,0.1643,8
F,0.464,0.375,0.121,0.5226,0.2035,0.1538,0.112,7
M,0.574,0.484,0.192,1.1847,0.4905,0.279,0.3182,8
